ate,open,high,low,close,volume,barCount,average
2022-01-27 11:00:00,23.38,23.485,22.67,22.73,-1,-1,-1.0
2022-01-27 11:01:00,22.73,22.775,22.55,22.55,-1,-1,-1.0
2022-01-27 11:02:00,22.55,22.575,22.525,22.565,-1,-1,-1.0
2022-01-27 11:03:00,22.565,22.65,22.555,22.575,-1,-1,-1.0
2022-01-27 11:04:00,22.575,22.605,22.575,22.595,-1,-1,-1.0
2022-01-27 11:05:00,22.595,22.635,22.59,22.615,-1,-1,-1.0
2022-01-27 11:06:00,22.615,22.645,22.59,22.64,-1,-1,-1.0
2022-01-27 11:07:00,22.64,22.64,22.62,22.625,-1,-1,-1.0
2022-01-27 11:08:00,22.625,22.87,22.625,22.65,-1,-1,-1.0
2022-01-27 11:09:00,22.65,22.71,22.59,22.59,-1,-1,-1.0
2022-01-27 11:10:00,22.59,22.78,22.585,22.725,-1,-1,-1.0
2022-01-27 11:11:00,22.725,22.78,22.725,22.73,-1,-1,-1.0
2022-01-27 11:12:00,22.73,22.745,22.725,22.74,-1,-1,-1.0
2022-01-27 11:13:00,22.74,22.745,22.71,22.715,-1,-1,-1.0
2022-01-27 11:14:00,22.715,22.715,22.69,22.69,-1,-1,-1.0
2022-01-27 11:15:00,22.69,22.715,22.665,22.7,-1,-1,-1.0
2022-01-27 11:16:00,22.7,22.7,22.695,22.695,-1,-1,-1.0
2022-01-27 11:17:00,22.695,22.71,22.695,22.71,-1,-1,-1.0
2022-01-27 11:18:00,22.71,22.71,22.695,22.71,-1,-1,-1.0
2022-01-27 11:19:00,22.71,22.71,22.675,22.675,-1,-1,-1.0
2022-01-27 11:20:00,22.675,22.675,22.67,22.67,-1,-1,-1.0
2022-01-27 11:21:00,22.67,22.67,22.63,22.63,-1,-1,-1.0
2022-01-27 11:22:00,22.63,22.65,22.605,22.625,-1,-1,-1.0
2022-01-27 11:23:00,22.625,22.655,22.605,22.65,-1,-1,-1.0
2022-01-27 11:24:00,22.65,22.65,22.625,22.625,-1,-1,-1.0
2022-01-27 11:25:00,22.625,22.625,22.62,22.625,-1,-1,-1.0
2022-01-27 11:26:00,22.625,22.63,22.615,22.625,-1,-1,-1.0
2022-01-27 11:27:00,22.625,22.665,22.625,22.665,-1,-1,-1.0
2022-01-27 11:28:00,22.665,22.685,22.65,22.665,-1,-1,-1.0
2022-01-27 11:29:00,22.665,22.705,22.665,22.675,-1,-1,-1.0
2022-01-27 11:30:00,22.675,22.675,22.63,22.63,-1,-1,-1.0
2022-01-27 11:31:00,22.63,22.635,22.63,22.635,-1,-1,-1.0
2022-01-27 11:32:00,22.635,22.635,22.62,22.62,-1,-1,-1.0
2022-01-27 11:33:00,22.62,22.635,22.62,22.635,-1,-1,-1.0
2022-01-27 11:34:00,22.635,22.76,22.635,22.685,-1,-1,-1.0
2022-01-27 11:35:00,22.685,22.71,22.655,22.655,-1,-1,-1.0
2022-01-27 11:36:00,22.655,22.67,22.625,22.655,-1,-1,-1.0
2022-01-27 11:37:00,22.655,22.675,22.655,22.67,-1,-1,-1.0
2022-01-27 11:38:00,22.67,22.67,22.655,22.655,-1,-1,-1.0
2022-01-27 11:39:00,22.655,22.695,22.655,22.665,-1,-1,-1.0
2022-01-27 11:40:00,22.665,22.665,22.66,22.665,-1,-1,-1.0
2022-01-27 11:41:00,22.665,22.71,22.655,22.7,-1,-1,-1.0
2022-01-27 11:42:00,22.7,22.7,22.7,22.7,-1,-1,-1.0
2022-01-27 11:43:00,22.7,22.7,22.685,22.695,-1,-1,-1.0
2022-01-27 11:44:00,22.695,22.755,22.675,22.725,-1,-1,-1.0
2022-01-27 11:45:00,22.725,22.765,22.685,22.765,-1,-1,-1.0
2022-01-27 11:46:00,22.765,22.765,22.765,22.765,-1,-1,-1.0
2022-01-27 11:47:00,22.765,22.81,22.765,22.81,-1,-1,-1.0
2022-01-27 11:48:00,22.81,22.82,22.8,22.82,-1,-1,-1.0
2022-01-27 11:49:00,22.82,22.83,22.8,22.81,-1,-1,-1.0
2022-01-27 11:50:00,22.81,22.81,22.785,22.785,-1,-1,-1.0
2022-01-27 11:51:00,22.785,22.795,22.785,22.795,-1,-1,-1.0
2022-01-27 11:52:00,22.795,22.875,22.795,22.825,-1,-1,-1.0
2022-01-27 11:53:00,22.825,22.85,22.82,22.825,-1,-1,-1.0
2022-01-27 11:54:00,22.825,22.85,22.825,22.825,-1,-1,-1.0
2022-01-27 11:55:00,22.825,22.825,22.825,22.825,-1,-1,-1.0
2022-01-27 11:56:00,22.825,22.87,22.825,22.87,-1,-1,-1.0
2022-01-27 11:57:00,22.87,22.87,22.84,22.85,-1,-1,-1.0
2022-01-27 11:58:00,22.85,22.85,22.805,22.81,-1,-1,-1.0
2022-01-27 11:59:00,22.81,22.81,22.81,22.81,-1,-1,-1.0
2022-01-27 12:00:00,22.81,22.81,22.81,22.81,-1,-1,-1.0
2022-01-27 12:01:00,22.81,22.815,22.81,22.815,-1,-1,-1.0
2022-01-27 12:02:00,22.815,22.855,22.815,22.85,-1,-1,-1.0
2022-01-27 12:03:00,22.85,22.865,22.83,22.865,-1,-1,-1.0
2022-01-27 12:04:00,22.865,22.875,22.86,22.865,-1,-1,-1.0
2022-01-27 12:05:00,22.865,22.89,22.865,22.89,-1,-1,-1.0
2022-01-27 12:06:00,22.89,22.935,22.89,22.915,-1,-1,-1.0
2022-01-27 12:07:00,22.915,22.94,22.915,22.915,-1,-1,-1.0
2022-01-27 12:08:00,22.915,22.915,22.915,22.915,-1,-1,-1.0
2022-01-27 12:09:00,22.915,22.93,22.91,22.915,-1,-1,-1.0
2022-01-27 12:10:00,22.915,22.915,22.905,22.905,-1,-1,-1.0
2022-01-27 12:11:00,22.905,22.915,22.89,22.89,-1,-1,-1.0
2022-01-27 12:12:00,22.89,22.89,22.845,22.855,-1,-1,-1.0
2022-01-27 12:13:00,22.855,22.86,22.85,22.855,-1,-1,-1.0
2022-01-27 12:14:00,22.855,22.855,22.855,22.855,-1,-1,-1.0
2022-01-27 12:15:00,22.855,22.855,22.85,22.85,-1,-1,-1.0
2022-01-27 12:16:00,22.85,22.86,22.85,22.86,-1,-1,-1.0
2022-01-27 12:17:00,22.86,22.865,22.855,22.855,-1,-1,-1.0
2022-01-27 12:18:00,22.855,22.855,22.855,22.855,-1,-1,-1.0
2022-01-27 12:19:00,22.855,22.855,22.83,22.83,-1,-1,-1.0
2022-01-27 12:20:00,22.83,22.83,22.815,22.815,-1,-1,-1.0
2022-01-27 12:21:00,22.815,22.835,22.815,22.835,-1,-1,-1.0
2022-01-27 12:22:00,22.835,22.835,22.8,22.825,-1,-1,-1.0
2022-01-27 12:23:00,22.825,22.825,22.82,22.82,-1,-1,-1.0
2022-01-27 12:24:00,22.82,22.825,22.795,22.82,-1,-1,-1.0
2022-01-27 12:25:00,22.82,22.825,22.8,22.82,-1,-1,-1.0
2022-01-27 12:26:00,22.82,22.82,22.82,22.82,-1,-1,-1.0
2022-01-27 12:27:00,22.82,22.82,22.82,22.82,-1,-1,-1.0
2022-01-27 12:28:00,22.82,22.84,22.82,22.84,-1,-1,-1.0
2022-01-27 12:29:00,22.84,22.84,22.84,22.84,-1,-1,-1.0
2022-01-27 12:30:00,22.84,22.84,22.83,22.83,-1,-1,-1.0
2022-01-27 12:31:00,22.83,22.84,22.83,22.83,-1,-1,-1.0
2022-01-27 12:32:00,22.83,22.89,22.83,22.87,-1,-1,-1.0
2022-01-27 12:33:00,22.87,22.87,22.865,22.865,-1,-1,-1.0
2022-01-27 12:34:00,22.865,22.865,22.865,22.865,-1,-1,-1.0
2022-01-27 12:35:00,22.865,22.875,22.865,22.875,-1,-1,-1.0
2022-01-27 12:36:00,22.875,22.875,22.875,22.875,-1,-1,-1.0
2022-01-27 12:37:00,22.875,22.905,22.875,22.905,-1,-1,-1.0
2022-01-27 12:38:00,22.905,22.92,22.905,22.92,-1,-1,-1.0
2022-01-27 12:39:00,22.92,22.92,22.92,22.92,-1,-1,-1.0
2022-01-27 12:40:00,22.92,22.95,22.905,22.945,-1,-1,-1.0
2022-01-27 12:41:00,22.945,22.965,22.94,22.945,-1,-1,-1.0
2022-01-27 12:42:00,22.945,22.945,22.945,22.945,-1,-1,-1.0
2022-01-27 12:43:00,22.945,22.945,22.91,22.915,-1,-1,-1.0
2022-01-27 12:44:00,22.915,22.915,22.9,22.905,-1,-1,-1.0
2022-01-27 12:45:00,22.905,22.925,22.84,22.84,-1,-1,-1.0
2022-01-27 12:46:00,22.84,22.84,22.84,22.84,-1,-1,-1.0
2022-01-27 12:47:00,22.84,22.89,22.84,22.885,-1,-1,-1.0
2022-01-27 12:48:00,22.885,22.885,22.885,22.885,-1,-1,-1.0
2022-01-27 12:49:00,22.885,22.885,22.885,22.885,-1,-1,-1.0
2022-01-27 12:50:00,22.885,22.885,22.84,22.84,-1,-1,-1.0
2022-01-27 12:51:00,22.84,22.85,22.82,22.84,-1,-1,-1.0
2022-01-27 12:52:00,22.84,22.84,22.8,22.835,-1,-1,-1.0
2022-01-27 12:53:00,22.835,22.835,22.645,22.66,-1,-1,-1.0
2022-01-27 12:54:00,22.66,22.775,22.66,22.775,-1,-1,-1.0
2022-01-27 12:55:00,22.775,22.775,22.7,22.745,-1,-1,-1.0
2022-01-27 12:56:00,22.745,22.765,22.735,22.735,-1,-1,-1.0
2022-01-27 12:57:00,22.735,22.735,22.735,22.735,-1,-1,-1.0
2022-01-27 12:58:00,22.735,22.74,22.675,22.72,-1,-1,-1.0
2022-01-27 12:59:00,22.72,22.725,22.625,22.625,-1,-1,-1.0
