date,open,high,low,close,volume,barCount,average
2022-01-27 11:00:00,863.5,934.335,863.5,932.55,-1,-1,-1.0
2022-01-27 11:01:00,932.55,935.695,931.805,932.255,-1,-1,-1.0
2022-01-27 11:02:00,932.255,932.255,930.33,930.885,-1,-1,-1.0
2022-01-27 11:03:00,930.885,935.25,930.8,934.88,-1,-1,-1.0
2022-01-27 11:04:00,934.88,935.005,931.79,931.88,-1,-1,-1.0
2022-01-27 11:05:00,931.88,933.125,931.505,932.225,-1,-1,-1.0
2022-01-27 11:06:00,932.225,932.335,931.735,932.0,-1,-1,-1.0
2022-01-27 11:07:00,932.0,933.78,931.97,933.44,-1,-1,-1.0
2022-01-27 11:08:00,933.44,934.125,929.275,929.275,-1,-1,-1.0
2022-01-27 11:09:00,929.275,929.275,922.925,923.22,-1,-1,-1.0
2022-01-27 11:10:00,923.22,923.84,919.595,919.595,-1,-1,-1.0
2022-01-27 11:11:00,919.595,923.855,917.6,923.675,-1,-1,-1.0
2022-01-27 11:12:00,923.675,925.75,921.6,923.91,-1,-1,-1.0
2022-01-27 11:13:00,923.91,925.0,923.495,923.495,-1,-1,-1.0
2022-01-27 11:14:00,923.495,923.495,921.6,923.0,-1,-1,-1.0
2022-01-27 11:15:00,923.0,924.125,921.57,923.0,-1,-1,-1.0
2022-01-27 11:16:00,923.0,923.665,922.03,922.43,-1,-1,-1.0
2022-01-27 11:17:00,922.43,923.25,920.575,922.53,-1,-1,-1.0
2022-01-27 11:18:00,922.53,924.035,922.53,924.025,-1,-1,-1.0
2022-01-27 11:19:00,924.025,924.505,923.785,924.23,-1,-1,-1.0
2022-01-27 11:20:00,924.23,924.305,923.92,923.92,-1,-1,-1.0
2022-01-27 11:21:00,923.92,924.38,922.925,922.925,-1,-1,-1.0
2022-01-27 11:22:00,922.925,924.215,922.925,924.215,-1,-1,-1.0
2022-01-27 11:23:00,924.215,924.22,923.25,923.25,-1,-1,-1.0
2022-01-27 11:24:00,923.25,923.8,923.01,923.77,-1,-1,-1.0
2022-01-27 11:25:00,923.77,925.5,923.5,925.5,-1,-1,-1.0
2022-01-27 11:26:00,925.5,928.23,925.0,927.65,-1,-1,-1.0
2022-01-27 11:27:00,927.65,928.255,926.635,928.255,-1,-1,-1.0
2022-01-27 11:28:00,928.255,930.6,928.255,929.3,-1,-1,-1.0
2022-01-27 11:29:00,929.3,930.05,927.31,927.32,-1,-1,-1.0
2022-01-27 11:30:00,927.32,929.495,927.285,928.54,-1,-1,-1.0
2022-01-27 11:31:00,928.54,928.54,926.855,926.855,-1,-1,-1.0
2022-01-27 11:32:00,926.855,928.685,926.735,928.305,-1,-1,-1.0
2022-01-27 11:33:00,928.305,929.5,927.15,927.15,-1,-1,-1.0
2022-01-27 11:34:00,927.15,927.325,927.15,927.15,-1,-1,-1.0
2022-01-27 11:35:00,927.15,927.495,926.955,927.15,-1,-1,-1.0
2022-01-27 11:36:00,927.15,927.5,927.05,927.05,-1,-1,-1.0
2022-01-27 11:37:00,927.05,927.5,927.05,927.5,-1,-1,-1.0
2022-01-27 11:38:00,927.5,928.0,927.5,928.0,-1,-1,-1.0
2022-01-27 11:39:00,928.0,928.0,927.5,927.73,-1,-1,-1.0
2022-01-27 11:40:00,927.73,928.25,927.705,928.25,-1,-1,-1.0
2022-01-27 11:41:00,928.25,928.25,927.45,927.45,-1,-1,-1.0
2022-01-27 11:42:00,927.45,928.27,927.15,927.825,-1,-1,-1.0
2022-01-27 11:43:00,927.825,927.825,927.115,927.115,-1,-1,-1.0
2022-01-27 11:44:00,927.115,927.615,926.795,927.12,-1,-1,-1.0
2022-01-27 11:45:00,927.12,927.615,926.695,927.46,-1,-1,-1.0
2022-01-27 11:46:00,927.46,928.615,927.14,928.475,-1,-1,-1.0
2022-01-27 11:47:00,928.475,929.5,927.505,928.995,-1,-1,-1.0
2022-01-27 11:48:00,928.995,928.995,928.65,928.65,-1,-1,-1.0
2022-01-27 11:49:00,928.65,929.18,928.65,929.095,-1,-1,-1.0
2022-01-27 11:50:00,929.095,929.285,928.605,929.175,-1,-1,-1.0
2022-01-27 11:51:00,929.175,932.63,929.175,932.23,-1,-1,-1.0
2022-01-27 11:52:00,932.23,932.815,931.845,932.5,-1,-1,-1.0
2022-01-27 11:53:00,932.5,934.165,932.475,933.5,-1,-1,-1.0
2022-01-27 11:54:00,933.5,933.5,931.72,932.795,-1,-1,-1.0
2022-01-27 11:55:00,932.795,932.895,932.125,932.37,-1,-1,-1.0
2022-01-27 11:56:00,932.37,932.6,931.935,932.125,-1,-1,-1.0
2022-01-27 11:57:00,932.125,932.405,931.625,932.125,-1,-1,-1.0
2022-01-27 11:58:00,932.125,932.225,931.625,932.225,-1,-1,-1.0
2022-01-27 11:59:00,932.225,932.225,929.545,929.545,-1,-1,-1.0
2022-01-27 12:00:00,929.545,931.195,929.32,930.045,-1,-1,-1.0
2022-01-27 12:01:00,930.045,931.025,930.045,930.59,-1,-1,-1.0
2022-01-27 12:02:00,930.59,932.0,930.36,930.875,-1,-1,-1.0
