date,open,high,low,close,volume,barCount,average
2022-01-27 11:00:00,7.4,8.225,7.4,7.65,-1,-1,-1.0
2022-01-27 11:01:00,7.65,7.65,7.65,7.65,-1,-1,-1.0
2022-01-27 11:02:00,7.65,7.69,7.65,7.69,-1,-1,-1.0
2022-01-27 11:03:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:04:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:05:00,7.69,7.695,7.69,7.69,-1,-1,-1.0
2022-01-27 11:06:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:07:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:08:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:09:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:10:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:11:00,7.69,7.69,7.69,7.69,-1,-1,-1.0
2022-01-27 11:12:00,7.69,7.705,7.69,7.705,-1,-1,-1.0
2022-01-27 11:13:00,7.705,7.705,7.705,7.705,-1,-1,-1.0
2022-01-27 11:14:00,7.705,7.705,7.705,7.705,-1,-1,-1.0
2022-01-27 11:15:00,7.705,7.705,7.705,7.705,-1,-1,-1.0
2022-01-27 11:16:00,7.705,7.72,7.705,7.72,-1,-1,-1.0
2022-01-27 11:17:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:18:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:19:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:20:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:21:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:22:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:23:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:24:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:25:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:26:00,7.72,7.72,7.72,7.72,-1,-1,-1.0
2022-01-27 11:27:00,7.72,7.735,7.72,7.72,-1,-1,-1.0
2022-01-27 11:28:00,7.72,7.955,7.72,7.955,-1,-1,-1.0
2022-01-27 11:29:00,7.955,8.01,7.83,7.83,-1,-1,-1.0
2022-01-27 11:30:00,7.83,8.145,7.83,7.95,-1,-1,-1.0
2022-01-27 11:31:00,7.95,7.95,7.95,7.95,-1,-1,-1.0
2022-01-27 11:32:00,7.95,7.95,7.95,7.95,-1,-1,-1.0
2022-01-27 11:33:00,7.95,7.95,7.95,7.95,-1,-1,-1.0
2022-01-27 11:34:00,7.95,7.95,7.95,7.95,-1,-1,-1.0
2022-01-27 11:35:00,7.95,7.95,7.875,7.875,-1,-1,-1.0
2022-01-27 11:36:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:37:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:38:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:39:00,7.875,8.035,7.875,8.035,-1,-1,-1.0
2022-01-27 11:40:00,8.035,8.035,7.875,7.875,-1,-1,-1.0
2022-01-27 11:41:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:42:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:43:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:44:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:45:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:46:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:47:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:48:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:49:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:50:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:51:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:52:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:53:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:54:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:55:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:56:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:57:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:58:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 11:59:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:00:00,7.875,8.035,7.875,7.875,-1,-1,-1.0
2022-01-27 12:01:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:02:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:03:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:04:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:05:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:06:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
2022-01-27 12:07:00,7.875,7.875,7.875,7.875,-1,-1,-1.0
