
ticker=NIO, epochs=27, units=55, prediction_days=24, dense_units=0.2,     ratio=[0.85462964]
ticker=NIO, epochs=17, units=35, prediction_days=13, dense_units=0.2,     ratio=[0.8196533]
ticker=NIO, epochs=21, units=29, prediction_days=30, dense_units=0.2,     ratio=[0.7723925]
ticker=NIO, epochs=27, units=42, prediction_days=39, dense_units=0.2,     ratio=[0.8605072]
ticker=NIO, epochs=13, units=46, prediction_days=31, dense_units=0.2,     ratio=[0.82258683]
ticker=NIO, epochs=30, units=36, prediction_days=69, dense_units=0.2,     ratio=[0.7793622]
ticker=NIO, epochs=11, units=44, prediction_days=32, dense_units=0.2,     ratio=[0.8795799]
ticker=NIO, epochs=25, units=47, prediction_days=47, dense_units=0.2,     ratio=[0.82739234]
ticker=RIOT, epochs=17, units=26, prediction_days=22, dense_units=0.2,     ratio=[0.84839356]
ticker=RIOT, epochs=21, units=40, prediction_days=41, dense_units=0.2,     ratio=[0.8103996]
ticker=RIOT, epochs=11, units=46, prediction_days=60, dense_units=0.2,     ratio=[0.8324868]
ticker=NIO, epochs=12, units=25, prediction_days=30, dense_units=0.2,     ratio=[0.7491152]
ticker=RIOT, epochs=27, units=21, prediction_days=39, dense_units=0.2,     ratio=[0.8242074]
ticker=NIO, epochs=26, units=59, prediction_days=70, dense_units=0.2,     ratio=[0.7900555]
ticker=RIOT, epochs=19, units=42, prediction_days=59, dense_units=0.2,     ratio=[0.81308264]
ticker=RIOT, epochs=18, units=33, prediction_days=30, dense_units=0.2,     ratio=[0.8234754]
ticker=NIO, epochs=21, units=40, prediction_days=23, dense_units=0.2,     ratio=[0.89262503]
ticker=NIO, epochs=23, units=36, prediction_days=66, dense_units=0.2,     ratio=[0.7823375]
ticker=RIOT, epochs=14, units=36, prediction_days=6, dense_units=0.2,     ratio=[0.6989541]
ticker=NIO, epochs=25, units=51, prediction_days=17, dense_units=0.2,     ratio=[0.9166101]
ticker=NIO, epochs=20, units=21, prediction_days=7, dense_units=0.2,     ratio=[0.83545846]
ticker=NIO, epochs=27, units=29, prediction_days=70, dense_units=0.2,     ratio=[0.7481513]
ticker=RIOT, epochs=17, units=52, prediction_days=32, dense_units=0.2,     ratio=[0.75479347]
ticker=RIOT, epochs=28, units=42, prediction_days=49, dense_units=0.2,     ratio=[0.7908937]
ticker=NIO, epochs=21, units=21, prediction_days=46, dense_units=0.2,     ratio=[0.7916745]
ticker=NIO, epochs=23, units=23, prediction_days=14, dense_units=0.2,     ratio=[0.880987]
ticker=NIO, epochs=19, units=21, prediction_days=43, dense_units=0.2,     ratio=[0.745718]
ticker=NIO, epochs=14, units=58, prediction_days=40, dense_units=0.2,     ratio=[0.84690803]
ticker=RIOT, epochs=30, units=44, prediction_days=23, dense_units=0.2,     ratio=[0.87210006]
ticker=RIOT, epochs=24, units=34, prediction_days=42, dense_units=0.2,     ratio=[0.7487823]
ticker=NIO, epochs=22, units=53, prediction_days=57, dense_units=0.2,     ratio=[0.80668896]
ticker=RIOT, epochs=12, units=24, prediction_days=40, dense_units=0.2,     ratio=[0.78375757]
ticker=NIO, epochs=21, units=60, prediction_days=53, dense_units=0.2,     ratio=[0.80479544]
ticker=NIO, epochs=28, units=50, prediction_days=10, dense_units=0.2,     ratio=[0.8402381]
ticker=NIO, epochs=25, units=42, prediction_days=58, dense_units=0.2,     ratio=[0.81189555]
ticker=RIOT, epochs=17, units=33, prediction_days=26, dense_units=0.2,     ratio=[0.6744162]
ticker=RIOT, epochs=14, units=54, prediction_days=30, dense_units=0.2,     ratio=[0.78372645]
